"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Climate finance additionality: emerging definitions and their implications","https://scispace.com/paper/climate-finance-additionality-emerging-definitions-and-their-4jt7uyy7ae","2010","","","Jessica Brown
Neil Bird
Liane Schalatek","","https://cdn.odi.org/media/documents/6032.pdf","… climate finance to ODA, but instead suggests that climate finance which is counted as ODA … From a technical angle, it is possible to determine ODA climate finance given that the 0.7% …","The Copenhagen Accord calls for a collective commitment by developed countries to provide ‘new and additional resources...approaching USD 30 billion for the period 20102012 with balanced allocation between adaptation and mitigation... [and] in the context of meaningful mitigation actions and transparency on implementation, developed countries commit to a goal of mobilizing jointly USD 100 billion dollars a year by 2020 to address the needs of developing countries.’ Rapid and successful deployment of this international public finance is a critical first step in allowing developing countries to adapt to climate change and pursue actions that will allow them to move onto a low carbon development pathway. However, it remains unclear (1) how additionality is defined in the Copenhagen Accord when it promises ‘new and additional resources’; and (2) how such large sums of money are going to be raised. These considerations remain elusive in the Accord, but are fundamental to ensuring that financial commitments are met and secured in such a way that international public funds are not diverted away from long-term commitments to support development in poor countries. Therefore, further reflection is needed around how ‘new and additional’ is being defined and what this implies for developing countries."
"Climate finance as development aid","https://scispace.com/paper/climate-finance-as-development-aid-3tujda9h","2022","Book Chapter","","K Michaelowa
C Namhata","10.4337/9781784715656.00009","","… that as a share of donors’ GNI, bilateral climate aid has been trending downward rather than upward since the formal agreement to provide new and additional climate finance in 2010. …","In this chapter, we highlight the relevance of public climate finance - and notably ODA - for climate finance overall. The classification as ODA induces problems related to the normative justification of these financial flows as well as to obfuscation linked to the dual objectives of economic and social development on the one hand, and climate change mitigation and adaptation on the other hand. Since separate international goals exist for both, double counting of what is supposed to be new and additional climate finance should be avoided. Furthermore, confounding the goals creates incentives to spend mitigation finance inefficiently. In contrast, what is required is joint optimisation based on the recognition of distinct objectives as well as distinct instruments. Solutions require a separate accounting for climate finance within ODA, and the recognition that mitigation and climate finance goals are linked. Correspondingly, climate finance goals should be monitored more seriously at the international level. "
"New and additional to what? Assessing options for baselines to assess climate finance pledges","https://scispace.com/paper/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8","2011","Journal Article","Climate and Development","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.1080/17565529.2011.599550","https://scispace.com/pdf/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8.pdf","… future DA, while DA does not include the climate finance part of ODA. Climate finance may be counted as ODA but the DA part of ODAFootnote5 is not allowed to be reduced below ‘BAU…","All major climate policy agreements – the UN Framework Convention, the Kyoto Protocol and recently the Cancun Agreements – have stated that climate finance for developing countries will be ‘new and additional’. However, the term ‘new and additional’ has never been properly defined. Agreeing to a system to measure a baseline from which ‘new and additional’ funding will be calculated will be central to building trust and realizing any post-Kyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ‘new sources only' and ‘above pre-defined business as usual level of development assistance’."
"Is Climate Finance Towards $100 Billion"" New and Additional""?.","https://scispace.com/paper/z2HZpoqT9gAJ","","","","I Mitchell
E Ritchie
A Tahmasebi","","https://www.cgdev.org/sites/default/files/PP205-Mitchell-Ritchie-Tahmasebi-Climate-Finance.pdf","… $100 billion in “new and additional” climate finance. In this paper… of climate finance that can be described as “new and additional.” … levels of climate finance from bilateral aid (ODA) and …",""
"Financing emission reductions: Official development assistance (ODA)-driven climate finance and beyond","https://scispace.com/paper/9nNDL5obo-0J","","","","H Roppongi","","","… the existing criteria of climate finance reporting largely driven by … climate finance flows not recognised in the current system; and 2) to discuss challenges of expanding climate finance …",""
"Aid and climate finance","https://scispace.com/paper/kO0VU-a3qDoJ","","","","H Kharas","","https://www.brookings.edu/wp-content/uploads/2016/07/aid-climate-finance-kharas.pdf","… to define and set targets for “new and additional” climate finance; how to monitor the flows of … ODA and climate finance are not necessarily in conflict with each other. ODA is needed to …",""
"New and additional to what? Options for baselines to assess"" new and additional"" climate finance","https://scispace.com/paper/hUu4Xd6sU4QJ","","","","M Stadelmann
JT Roberts
A Michaelowa","","https://www.zora.uzh.ch/id/eprint/52819/9/Stadelmann_New_and_additional.pdf","… 22 This interference is not very severe, since projections of development assistance do not actually impact the definition of ODA, as we distinguish here between ODA (all funds counted …",""
"CLIMATE CHANGE FINANCING: THE CONCEPT OF ADDITIONALITY IN THE LIGHT OF THE COMMISSION PROPOSAL FOR A DEVELOPMENT …","https://scispace.com/paper/ZDg_hOVCUYsJ","","","","B DIRECTORATE","","https://www.ecologic.eu/sites/default/files/publication/2013/duwe_12_Climate_Change_Financing.pdf","… should be made with regard to ODA and additionality of climate finance. Nevertheless, the … to declare ODA and climate finance side by side (or climate finance as part of ODA) if ODA …",""
"Keeping a big promise: options for baselines to assess"" new and additional"" climate finance","https://scispace.com/paper/keeping-a-big-promise-options-for-baselines-to-assess-new-luspcvzgwe","2010","Journal Article","Social Science Research Network","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.2139/SSRN.1711158","https://www.zora.uzh.ch/id/eprint/149301/1/ZORA149301.pdf","… The two obvious criteria for setting climate finance baselines are additionality and novelty, as … the climate finance that can be accounted as ODA to 10% of overall ODA contribution. All …","All major climate policy agreements - the UN Framework Convention, the Kyoto Protocol and recently the Copenhagen Accord - have stated that climate finance for developing countries will be ”new and additional”. However, the term “new and additional” has never been properly defined. Agreeing a system to measure a baseline from which “new and additional” funding will be calculated will be central to building trust and realising any postKyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ""new funds only"" and ""above pre-defined business as usual level of development assistance"". The final section assesses the impact of the baseline definition on the novelty and additionality of “fast start finance” pledged under the 2009 Copenhagen Accord, showing that values can vary from 0 to 100% depending on the definition."
"Official development assistance, global public goods, and implications for climate finance","https://scispace.com/paper/TTWDjyoUVmkJ","","","","C Kenny","","https://www.cgdev.org/sites/default/files/PP188-Kenny-ODA-GPGs-Full.pdf","… 100% climate finance. It is hard to see how something could both be ODA and climate finance … : “Australia sources its climate finance from new and additional aid budget appropriations …",""
