"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance","https://scispace.com/paper/postface-fragmentation-failing-trust-and-enduring-tensions-15fqg1896o","2017","Journal Article","International Environmental Agreements-politics Law and Economics","J. Timmons Roberts
Romain Weikmans","10.1007/S10784-016-9347-4","https://scispace.com/pdf/postface-fragmentation-failing-trust-and-enduring-tensions-15fqg1896o.pdf","The Paris Agreement commits nations in Article 2(1) to “Making finance flows consistent with a pathway towards low greenhouse gas emissions and climate-resilient development.” However there is an absence of internationally agreed accounting rules that would permit overall assessments of progress to this goal and any meaningful comparisons of performance between countries. This is true also for the quantitative Copenhagen/Cancun promise by developed nations to jointly mobilize US$100 billion by 2020. Our goal is to provoke discussion about the depth of the problems this lack of a functional definition and accounting system have created and perpetuated. We do so by describing the fragmented system of national reporting of climate finance and how the OECD’s Rio Marker system is serving neither contributors nor recipients. More than a trust issue between developed and developing countries, we argue that the lack of modalities to account for climate finance also considerably impedes the effective functioning of the bottom-up approach that now prevails under the UNFCCC. The deadline to propose ""modalities of accounting climate finance"" by 2018 is a crucial window in which to address this chronic issue in international climate policy.","established for other forms of foreign aid (OECD 2015; Climate Policy Initiative 2015; see special issue Editorial). The governance of this financing is largely decentralized and poorly coordinated (UNFCCC Standing Committee on Climate Finance 2014). A bottom-up approach to climate finance:
 Some argue that the bottom-up approach prevalent in development assistance brings flexibility and innovation and that such an approach fits well with the many motivations for providing aid, and with the diverse willingness and capabilities to contribute to development finance efforts (e.g., . On the other hand, one could argue that a bottom-up approach to climate finance is probably associated with lower aggregate flows of climate finance (e.g., . This is a critical problem for those observers who consider climate finance as a tool for international justice or even as a kind of compensation for the disproportionate responsibility of some countries for climate change (see, e.g., . The fragmented approach creates serious problems of coordination and duplication of donors' efforts ). Transparency on climate finance has been identified by some observers as a key to overcome those shortcomings . We agree with Hall (this issue) that the current setup is one of ''strategic and epistemic ambiguity'' (see also Pauw, this issue). Current decisions regarding climate finance reporting and accounting under the UNFCCC pose significant barriers to achieving climate finance transparency through comprehensive accounting; we examine these decisions in the next section. Accounting for climate finance: a nationally driven approach pushed to its limits:
 For many years, developed countries have committed to reporting climate finance provided to developing countries to the UNFCCC Secretariat (e.g., UNFCCC 1999: Decision 4/CP.5; UNFCCC 2011: Decision 2/CP.17; UNFCCC 2012: Decision 19/CP.18). Negotiators decided on current climate finance reporting guidelines for Annex II Parties in 2011 in Durban and in 2012 in Doha. Compared to previous reporting guidelines under the UNFCCC, the comprehensiveness and transparency of current reporting requirements have improved (see ). Accounting for climate finance: a nationally driven approach pushed to its limits:
 However, most developed countries have so far failed to ensure transparency and completeness in their reporting to the Secretariat (UNFCCC Standing Committee on Finance 2014; AdaptationWatch 2015). While each Party can be shamed individually for failing to provide transparency in its own reporting to the Convention, we argue that the current general lack of transparency around climate finance is also a collective failure. Indeed, despite progress on reporting guidelines, current decisions under the UNFCCC still fall far short of a robust accounting framework for climate finance. By failing to define what counts as climate finance (activities, financial flows, etc.) and who is responsible for counting it, negotiators have left the door wide open to contrasting statements on the fulfilment of these promises."
"Monitoring and Tracking Long-Term Finance to Support Climate Action","https://scispace.com/paper/monitoring-and-tracking-long-term-finance-to-support-climate-4dshy36wee","2011","Report Series","","Barbara Buchner
Jessica Brown
Jan Corfee-Morlot","10.1787/5K44ZCQBBJ42-EN","https://scispace.com/pdf/monitoring-and-tracking-long-term-finance-to-support-climate-4dshy36wee.pdf","The Cancun Agreements formalise a collective commitment by developed countries to provide new and additional funding for action on climate change in developing countries both in the short- and longer-term. This collective financial commitment requires a system to measure, report and verify (MRV) the relevant financial flows across a variety of sources. However, the existing effort to track climate finance lacks transparency, comparability and comprehensiveness. The paper highlights the relevant information that needs to be tracked in order to build a comprehensive MRV system for climate finance, proposing both improvements to current reporting and tracking systems as well as new reporting approaches for a more robust and inclusive MRV system. The paper suggests tracking information along a multi-dimensional structure. This structure is aspirational, to be achieved and added to over time. Certain elements of it might not be feasible in the near term but could be developed with a targeted effort. For example, while not a priority in the near-term it is important to recognise the growing importance of South-South financial flows to support climate action and to anticipate adding reporting on this in future. Of course such a system must also be built up slowly, allowing reporting countries to build capacity to provide higher quality and more complete information over time. In particular, the paper outlines two strawman proposals for reporting on climate finance that integrate existing and new UNFCCC vehicles for reporting or recording information, (i.e. national communications and biennial reports, the registry) as well as drawing on other reporting systems. These are: (i) reporting through limited sources; or (ii) reporting through expanded sources, building on broader institutional collaboration and non-party reporting. Both ‘strawman’ proposals foresee an important oversight role from the UNFCCC to serve as recipient of all data, and to co-ordinate the verification and review and/or international consultation and analysis process. Both options advance a more comprehensive system for storing and accessing data on international climate finance and will facilitate comparison and integration of data across sources.","reports on global trends in sustainable energy investment, giving an overview of capital flows and an analysis of the trends in sustainable energy investment activity. The underlying database allows access to information on specific technologies and sectors as well as on larger regions and is publicly available. Outstanding issues for current reporting:
 Overall, data availability and quality on climate finance flows is growing and this has become a much more significant and robust field of interest and activity in recent years. The previous section details the significant strengths as well as weaknesses associated with information and reporting systems covering the various financial flows and corresponding reporting systems, and proposes ways to improve information for each. Significant gaps in data remain, which often reflect weaknesses in the methodological approaches to quantify climate finance as well as lack of statistical systems to track how and what share of flows support climate change action. Any framework for MRV of climate finance requires attention to the gaps and weaknesses embedded in existing systems and data sets and an approach to weave the various sources of information together for a more comprehensive assessment. Table  below provides a summary of the quality and availability of existing climate finance data.   Climate finance, measured as annual commitments of funds or capital flows (disbursements of public funds or private investment) that support climate action as well as cumulative amounts of investment or public fund capital over time. Measurements should be in a common currency and real year monetary units (e.g. real USD for the most recent year).  Climate-related finance across the different sources and types, to be measured in the same way as climate finance.  Leveraging ratios of public international climate finance. This is important given the recognition in the Cancún Agreements that long-term climate finance can come from a range of sources, including private sources. A standard definition of leveraging ratio is needed and is proposed here to be: the incremental private investment over the aggregate international public finance flow (concessional and non-concessional). Outstanding issues for current reporting:
 The system should be designed to accommodate accounting for climate finance flows of different origin or source country and in different directions (North-South, South-South, South-North or even North-North or domestic flows), however, in the spirit of the Cancun Agreements, a first priority is a comprehensive picture of the international (N-S flows). Outstanding issues for current reporting:
 Capital flows should include both concessional and non-concessional flows of public funds as well as climate finance from the private sector (which by definition is non-concessional). As the value of these flows differs with respect to how they ""support"" action in developing countries, it is advisable to collect data so that concessional public flows can be analysed separately from private flows e.g. for the purposes of understanding the leveraging effects of public support. Public flows of concessional and nonconcessional finance can be aggregated for the purpose of comparing levels of support by donor or donor institution (e.g. MDBs) however such aggregations should also be handled with care, delineating also the two separate categories of flows."
"Reporting on capacity-building and technology support under the Paris Agreement: Issues and options for guidance","https://scispace.com/paper/reporting-on-capacity-building-and-technology-support-under-2iagrmadg1","2018","Report Series","","Justine Garrett
Sara Moarif","10.1787/F5330A47-EN","https://scispace.com/pdf/reporting-on-capacity-building-and-technology-support-under-2iagrmadg1.pdf","The enhanced transparency framework for climate action and support envisaged by the Paris Agreement is to “build on and enhance” current transparency arrangements under the United Nations Framework Convention on Climate Change (UNFCCC). This paper draws lessons from current reporting by Annex I and non-Annex I countries both within and outside the UNFCCC reporting framework to provide options that might inform the development of modalities, procedures and guidelines (MPGs) for reporting of technology transfer and capacity-building support under the Paris Agreement. The paper offers six options for consideration by Parties, with an emphasis on reporting by developing country Parties, given that very limited guidance has been available to these Parties to date. The options include how Parties might provide more guidance for reporting separately on financial, technology and capacity-building support; frame reporting of support needs and support received in the context of nationally determined contributions (NDCs); and facilitate more consistent use of key terminology and clearer reporting.","developed country Parties to report, rather than Annex II countries only. ""Other Parties"" that provide support (i.e. countries that are not ""developed"", but that may provide support to other developing countries) are also invited to provide information. │ 17:
 Parties • There will likely be limitations on the information that can be reported under the Paris Agreement's transparency framework, particularly for the purposes of informing the global stocktake. This is due to governments' partial view of technology development and transfer activity, and lack of visibility on the use of multilateral funds to which they may contribute. 8 Parties that report to the OECD DAC use the Rio marker system, which advises on ""marking"" official government flows to developing countries that are relevant for climate change. Many of these Parties use the information reported to the DAC as a basis for reporting to the UNFCCC. For Parties that do not report to the DAC (including voluntarily), a system to help identify climaterelevant support flows may be helpful, and could be reported on transparently. How Parties use the DAC marking systems for UNFCCC reporting does vary, and work is currently underway to improve transparency between Rio marker data and reporting to the UNFCCC. One proposal is to include additional columns in the reporting system to allow reports to indicate on a voluntary basis whether individual activities are included in reports to the UNFCCC, whether this is done at the commitment or disbursement level, and how much  ). │ 17:
 The UNFCCC is also currently exploring ways that links could be created between climate finance reporting to the Convention and to other processes more broadly: see for example https://unfccc.int/files/cooperation_and_support/financial_mechanism/standing_committee/applica tion/pdf/draft_bn_on_mrv_scf14_2709.pdf. Learning from current experience in reporting: technology and capacitybuilding support received and needed:
 The mandate of building on and enhancing current transparency arrangements under the Convention (Art. 13.3) also applies to information on support received, currently reported in both national communications (NCs) and biennial update reports (BURs). Guidance has been generic and inconsistent, and most non-Annex I Parties to date have less experience than Annex I Parties with reporting support-related information. This section examines what practices could be ""built on"" from current reporting under the UNFCCC, along with other related processes that may impact or facilitate the reporting of this information. The section ends with the implications that both sets of experience may have for understanding how reporting could be ""enhanced"" in the future."
"Tracking Climate Finance","https://scispace.com/paper/tracking-climate-finance-3y28xkcklr","2012","Report Series","Research Papers in Economics","Christa Clapp
Jane Ellis
Julia Benn
Jan Corfee-Morlot","10.1787/5K44XWTK9TVK-EN","https://scispace.com/pdf/tracking-climate-finance-3y28xkcklr.pdf","Developed countries have committed under the international negotiations to jointly mobilising USD 100 billion per year by 2020 for climate change mitigation and adaptation in developing countries. Yet consistent and comprehensive data to track this commitment are currently lacking. Such data will also help governments and the private sector understand how much and what type of climate finance is flowing today, so as to be able to evaluate progress and effectiveness of international climate finance flows. Estimates based on available data are highly uncertain and incomplete, highlighting several challenges in establishing a robust tracking system. A more political question is what should be the internationally agreed definition of ""climate finance"" or, absent agreement on that, what types of flows or activities might count towards the USD 100 billion? On the more technical side, challenges include clearly defining flows and sources of international climate finance, determining the cause and effect of flows, and establishing the boundaries of finance flowing towards climate change action. This paper considers what data are currently available to track climate finance, and demonstrates the complex nature of financial flows through examples across international and domestic as well as public and private flows. The examples highlight questions on how to count and track climate finance.","on clean energy only. The data set does not provide a way to identify the geographic origin of the capital flows, thus makes it difficult to use for N-S tracking or to attribute flows to a donor country. It is also a commercial database, accessible only on a fee basis. Private philanthropy $0.4 bn ** (including voluntary carbonmarket flows ) Gates, Rockefeller and Soros, etc.  OECD DAC system has begun to track data on a voluntary basis with philanthropic donors e.g. Gates foundation is reporting through the system.  Annual reports are also available (but data is not routinely aggregated across different foundations). 9:
 Recent OECD analysis proposes a way forward to define a range that frames ""green FDI"", providing proxies for the lower and upper bounds of this range using narrow and broad definitions of ""green FDI"" (see . However it is unclear whether FDI statisticians would place a priority on improvement required to systematically track ""green FDI."" Further, FDI outflows from China, India and other non-Annex I countries are significant , hence it is important to consider eventual expansion of any tracking system to cover developing-developing (and even developing-developed) FDI. While tracking Developing-Developing flows is not of direct importance to counting the $100 bn, it would be useful to explore in future. What we do not know: Illustrated by financial flow examples:
 The fundamental challenges for robust tracking lie at the nexus of political and technical issues. On the political side, there are many open questions regarding what financial flows could count towards the $100 billion. These political questions are intertwined with complex data issues, related to availability and levels of disaggregation (both geographical and sectoral) 10 . Some general principles of climate finance had been proposed during the on-going climate negotiations e.g. predictable, adequate and scaled-up (UNFCCC 2011). However the application of such principles becomes complicated when considering examples of entangled financial flows across a variety of financial actors and instruments, and they were subsequently omitted from the Durban outcome (UNFCCC 2011a)."
"Mainstreaming Adaptation in National Development Planning","https://scispace.com/paper/mainstreaming-adaptation-in-national-development-planning-2wfysbn7ow","2016","Report Series","Research Papers in Economics","Juan Casado-Asensio
Anna Drutschinin
Jan Corfee-Morlot
Gisela Campillo","10.1787/5JLSV0689QS6-EN","https://scispace.com/pdf/mainstreaming-adaptation-in-national-development-planning-2wfysbn7ow.pdf","This Working Paper explores progress in the integration or mainstreaming of adaptation and related objectives into national development planning. It first provides an overview of the international mechanisms, including finance, to support the mainstreaming of climate change adaptation into development planning and policies in developing countries. Through a review of relevant planning documents in fifteen developing countries, it then examines key features in adaptation planning and mainstreaming of adaptation into development planning. These countries were because they have been amongst the highest recipients of adaptation-related bilateral development finance. The research provides a snapshot of current practice. Despite heightened international efforts to support developing countries, evidence of mainstreaming adaptation was only found in a few of the countries and in a few of the sectors studied here. It also found that where mainstreaming is occurring, linkages exist with other policy objectives including poverty reduction, promoting biodiversity and ecosystems, and urban and rural development. The findings may be a useful starting point to guide policy-relevant research, such as to what extent mainstreaming may be occurring on the ground (or not) and how well this progress is reflected in planning documents, as well as how to improve the effectiveness of development co-operation targeting adaptation. The paper may also help inform international efforts under the UNFCCC that are designed to support developing countries to mainstream adaptation priorities into development planning and policy.","objectives. It also shows that providers are recognising adaptation co-benefits of activities primarily targeting other environmental and climate-related objectives, such as mitigation (45% of adaptation activities also target mitigation), biodiversity (35%) and desertification (16%). 31.:
 The integration of adaptation into broader development co-operation activities is important given that the World Bank estimated that up to 40% of ODA is sensitive to climate risks . For example, energy-related interventions can benefit from integrating adaptation considerations. Incorporating a solar photovoltaic (PV) system into an energy project can, for instance, increase resilience to climate extremes such as storms, droughts or high temperatures, as solar PV can continue to operate under these conditions while conventional power sources and their transmission to end-users are negatively affected (e.g. hydropower dams that depend on rainfall; thermal power stations that require water for cooling; above-ground power transmission systems that are exposed to storm damage). Box 3. The Development Assistance Committee Creditor Reporting System and the Rio markers:
 Developed countries signing the three Rio Conventions on Climate Change, Biological Diversity and Desertification in 1992 committed to assist developing countries in the implementation of these Conventions through the provision of finance among other forms of support. The DAC monitors development finance targeting the global environmental objectives of the Rio Conventions through its Creditor Reporting System (CRS) using the ""Rio markers."" The markers are designed to track the integration of environmental objectives into development co-operation portfolios rather than specific quantitative financial commitments and thus the Rio marker data provide a range for adaptationrelated bilateral development finance. The sum of ODA targeting adaptation as a principal objective and ODA targeting adaptation as a significant objective can be considered as the ""upper bound"", while ODA targeting adaptation as a principal objective can be considered as the ""lower bound."" Box 3. The Development Assistance Committee Creditor Reporting System and the Rio markers:
 The Rio marker for adaptation was introduced in 2010. It is applied to activities that intend to reduce the vulnerability of human or natural systems to the current and expected impacts of climate change, including climate variability, by maintaining or increasing resilience, through increased ability to adapt to, or absorb, climate change stresses, shocks and variability and/or by helping reduce exposure to them. This encompasses a range of activities from information and knowledge generation, to capacity development, planning and the implementation of climate change adaptation actions . By way of background, the CRS contains details of over 4 000 climate adaptation-related ODA activities per year since 2010, reaching over 5 400 in 2014."
"Proceedings of the 7th Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature","https://scispace.com/paper/proceedings-of-the-7th-joint-sighum-workshop-on-11olg0zswi","2023","Paratext","","","10.18653/v1/2023.latechclfl-1","https://scispace.compdf/proceedings-of-the-7th-joint-sighum-workshop-on-11olg0zswi.pdf","","compliance with reporting standards, or even incentives to report more than is actually delivered . Discussion: Moreover, our estimates are subject to considerable uncertainty because an unambiguous classification of aid activities based on the Rio Marker methodology requires extensive knowledge of individual aid activities. Discussion:
 Although the estimates are somewhat uncertain, our results confirm earlier findings of a substantial discrepancy between the figures reported by donors and re-evaluations by independent re-searchers . Discussion:
 This can be partly explained by the fact that our approach draws on earlier classifications as training data and is thus not completely independent. Discussion:
 However, our study also goes well beyond existing research in temporal and geographical scope: We assess every adaptation aid activity reported by OECD DAC donors since the Rio marker on adaptation aid was introduced in 2010. Discussion:
 If donors had changed their reporting practice, we would likely see this in our data, yet, overall, we find no indication that reporting practices have changed significantly since 2010. The share of overreporting remains at a high level between 2010 and 2019. Discussion:
 Although the classifier indicates a slight decrease of overreporting, the fluctuations are within the range of uncertainty of our adjusted estimates. Nevertheless, the results are mainly driven by a significant decrease in overreporting by the United Kingdom. Discussion:
 However, we are careful to infer from our data substantial differences in reporting standards between countries; Country-specific results should be examined more closely in future research. Discussion:
 We have no reason to suspect that the classifier has particular problems with data reported by the UK based on the results of the cross-validation and given the fact that most project descriptions are in English. Conclusion:
 In this paper we propose an automated way of detecting overreporting of climate adaptation finance based on CRS project descriptions. Our approach is based on state-of-the-art text classification using finetuning neural language models. Conclusion:
 We consider the quality of the annotations of our training data when estimating overall overreporting rates, and propose a Bayesian approach to estimate an extrapolation of high-quality annotations. Our approach indicates significant overreporting throughout the study period. Conclusion:
 There are two key challenges with this approach: The quality and quantity of annotation scheme data, and the quality of the textual input. While, ultimately, the first challenge can be overcome by extending data with higher-quality annotations, the second proves trickier. Conclusion:
 Unfortunately, the CRS data does not have uniform quality built into its textual descriptions. Conclusion:
 We have discussed the influence of description length and language on the quality of our 106 classifier, but while future work may incorporate techniques from short-text classification research, in many cases the information the CRS contains will likely not suffice to use techniques like augmentation or conceptualization. Conclusion:
 To improve on this, additional external data would be necessary, to which, at this point, we had no access. Especially deciding if the CCA aspects of a project comprises a ""significant"" or ""principal"" object should benefit from this. Conclusion:
 Another way to improve would be to pay more attention to multi lingual classification research and either incorporate techniques for multi lingual text classification or utilize a high-quality pipeline for translation. A Overreporting per Year:
 Tables  show detailed numerical results on estimating overreporting split by year. These two tables were summarized in Figure , comparing the resulting rates."
"New and additional to what? Assessing options for baselines to assess climate finance pledges","https://scispace.com/paper/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8","2011","Journal Article","Climate and Development","Martin Stadelmann
J. Timmons Roberts
Axel Michaelowa","10.1080/17565529.2011.599550","https://scispace.com/pdf/new-and-additional-to-what-assessing-options-for-baselines-3nq8v87gg8.pdf","All major climate policy agreements – the UN Framework Convention, the Kyoto Protocol and recently the Cancun Agreements – have stated that climate finance for developing countries will be ‘new and additional’. However, the term ‘new and additional’ has never been properly defined. Agreeing to a system to measure a baseline from which ‘new and additional’ funding will be calculated will be central to building trust and realizing any post-Kyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ‘new sources only' and ‘above pre-defined business as usual level of development assistance’.","and additional"" or leaves them less willing to disburse climate funds. Some existing channels may be better suited for certain types of flows or certain efforts to address climate change.. This approach could have absurd consequences if old commitments are simply redirected into new funds. Option 4: No ODA counts:
 Another straightforward option would allow using the best channels and mechanisms, but would not count ODA money as climate finance, to clearly separate between development and climate funds. This options is favoured by many developing countries, who want climate finance to be above ODA . Double-counting could be avoided and transparency enhanced. Option 4: No ODA counts:
 Additional administrative costs of separately accounting climate funds from ODA are minimal if built on existing accounting systems 16 . This approach forces contributors to decide whether the main goal of funding is development or climate related. Despite the advantages of this approach, it is rejected by most industrialized countries, as they prefer to use climate funds to reach their ODA targets. Furthermore, developing countries argue that climate change issues should be ""mainstreamed"" into existing development assistance, which is a non-consistent argument for rejecting separate accounting: Option 4: No ODA counts:
 While mainstreaming in itself may be important 17 , it is not constrained by separate accounting of development and climate funds 18 . Furthermore, this baseline approach would be inconsistent with the well established rule in the development assistance regime that all concessional flows can be counted as ODA 19 . Option 5: Current climate finance:
 A baseline acceptable to contributors (and according to  supported by Germany) may be current climate finance: the existing climate funds and those pledged before Copenhagen would define the fixed baseline. This could be the final year before Copenhagen (2008 or 2009), or a five-year average such as 2005-2009. On the downside, with this model the diversion of developmentoriented aid is possible, and information on current climate finance is scarce. In three analyses, we have attempted to quantify current levels of climate finance . Many definitional problems arise, showing starkly conflicting numbers between OECD ""Rio Marker"" totals and those of our independent categorizations at the project level. Therefore, the criterion of transparency is currently not given, both in terms of clarity of definition and availability of data. However with clear definitions and sufficient resources, such a baseline could be constructed for major contributor nations in the future."
"The Japanese Fast-Start Finance Contribution","https://scispace.com/paper/the-japanese-fast-start-finance-contribution-45317nlr6n","2012","","","Takeshi Kuramochi
Noriko Shimizu
Smita Nakhooda
Taryn Fransen","","https://scispace.com/pdf/the-japanese-fast-start-finance-contribution-45317nlr6n.pdf","Developed country governments have repeatedly committed to provide new and additional finance to help developing countries transition to low-carbon and climate-resilient growth. This assessment considers Japan’s efforts to provide “fast start finance” (FSF) between January 2010 and February 2012 in the context of the pledge by developed countries to mobilize USD 30 billion from 2010 to 2012 under the United Nations Framework Convention on Climate Change (UNFCCC). It is part of a series scrutinizing how developed countries are defining, delivering, and reporting FSF.","is reported if the risk coverage rates are not available. Status Pledged: Identified with domestic legal force Deposited Approved for disbursement Disbursed All the projects in the list are made agreement on loan, grant or technical cooperation with recipients or borrowers. Status Pledged:
 The project status was not investigated in this study. For multilateral funds, it was not possible in this assessment to determine the recipient country and regional breakdown, one it was financed. We assigned this parameter based on the recipient country that the finance is intended to benefit, which does not necessarily signify that the finance was transferred to an institution within that recipient country. Recipient Country:
 Except in instances where the finance supports multilateral or ""global"" programs, the recipient country and/or region were identified for each project in the relevant documentation. Recipient Country:
 For multilateral funds, it was not possible in this assessment to determine the recipient country and regional breakdown, one it was financed. We assigned this parameter based on the recipient country that the finance is intended to benefit, which does not necessarily signify that the finance was transferred to an institution within that recipient country Recipient Institution:
 Information on the recipient institution was not consistently provided in available documentation. Where information was available, we attempted to identify the name and type (e.g., governmental, NGO, or private, and recipient-or contributor-based) of the institution receiving funding. In a number of cases, it was unclear whether an institution associated with a project was the direct recipient, an indirect recipient (e.g. subgrantee or subcontractor), or another kind of implementing partner. Thus, where our assessment lists a recipient institution, it could refer to any one of these roles. All project documentation specifies the financial instrument. Financial Instrument Characteristics:
 Any information on the characteristics of the finance (e.g., grant element), and/or how the country is counting that financial instrument towards its total FSF amounts, where available. Objective:
 We attempted to identify the extent to which FSF projects target the climate-related objectives of adaptation and mitigation. We did this at three levels of rigor: First, we identified how the United States seemed to be counting each project, and second, for a subset of projects, we assessed the extent to which each project would meet a more rigorous definition of adaptation or mitigation according to the OECD DAC Rio Markers. Finally, we examined those projects whose categorizations were ambiguous in more detail, and documented which project types were involved. Mitigation -REDD+ Mitigation -Other Multiple:
 For the first level of assessment, we simply assigned each project to adaptation or mitigation on the basis of the description in the FSF report. While the United States has not specified which projects it is counting toward its adaptation totals and which toward mitigation, the project descriptions in the FSF report generally provide a strong indication even when the terms ""adaptation"" and ""mitigation"" are not used. For example, we classified food security projects as adaptation, and clean energy projects as mitigation. Mitigation -REDD+ Mitigation -Other Multiple:
 We also identified the subset of mitigation projects that are forestry, or REDD+. We classified projects that seemed to support more than one of these objectives as ""multiple"". For example, projects that address adaptation and mitigation-REDD are classified under ""multiple"". PARAMETER OPTIONS EXPLANATION:
 For Adaptation and Mitigation Rio Marker: 0 -not targeted 1 -significant objective 2 -principal objective"
"Official Development Finance for Infrastructure","https://scispace.com/paper/official-development-finance-for-infrastructure-4znwhchb6h","2015","Report Series","Research Papers in Economics","Kaori Miyamoto
Emilio Chiofalo","10.1787/5JRS3SBCRVZX-EN","https://scispace.com/pdf/official-development-finance-for-infrastructure-4znwhchb6h.pdf","The main objective of this study is to offer an overall picture of support by multilateral and bilateral development partners to development country infrastructure. By presenting an overview of the scale, distribution, and modality of development co-operation for infrastructure, the report is expected to contribute to discussions and further research in international fora on how to fill the financing gap, particularly by mobilising the private sector. However, the report does not generally make assessments against development objectives nor provide policy recommendations. The methodology mainly involved analysing the OECD Development Assistance Committee (DAC)’s Creditor Reporting System data on Official Development Finance (ODF) for the infrastructure sectors (water and sanitation, transport, energy, and communications). Desk research was also conducted on gaps in infrastructure financing as well as support by major development partners that do not report to the DAC at the activity level.","""Significant"" relates to projects where climate change adaptation and/or mitigation is an important aspect, but is not one of the principal drivers. Rio-marked data for both climate change mitigation and adaptation are available for flows from 2010 and onwards. A. Accounting for bilateral development partners:
 Coverage of ODA commitments from bilaterals development partners is generally complete, though data gaps still exist for some bilateral development partners. Data on Other Official Flows from bilateral agencies, however, are incomplete. Thus, for this section of the report, only ODA commitment data is analysed for bilaterals partners. 1.:
 Australia green infrastructure commitments: Only includes flows from the Department of Foreign Affairs and Trade. 2.:
 Austria green infrastructure commitments: Only includes flows from main agency ADA. 3.:
 Iceland, Ireland, Luxembourg, and Portugal green infrastructure commitments: Country climate data is based on disbursements data. Therefore disbursement data are used as a proxy for commitment data. 3.:
 For more information on the OECD climate markers, please refer to the Handbook for OECD Climate Markers available at http://www.oecd.org/dac/stats/48785310.pdf. B. Accounting for multilateral development partners:
 The DAC has been collaborating with MDBs over a number of years to capture climate-related data. B. Accounting for multilateral development partners:
 Multilateral climate finance data includes reporting from 9 multilateral development partners: i.e. AfDB, AsDB, EBRD, EIB, IADB, WB and IFC, the Global Environment Facility, and the Adaptation Fund. Multilateral partners use a climate-related component approach, whereby only the portion of ODF that contributes to climate change adaptation or mitigation is reported. This is different from the Rio-Marker approach, whereby the whole project that contributes to climate change mitigation and adaption is reported. B. Accounting for multilateral development partners:
 As many multilateral partners only began reporting on climate components either in 2014 or 2015, there are still gaps within the data, i.e. projects that are climate-related but have not been marked. As reporting becomes more standardised over time, it is expected that coverage will become more complete. 1.:
 Climate Investment Funds green infrastructure commitments: Climate data is based on disbursements data as CIFs do nor report in commitment data. 2.:
 AsDB green infrastructure commitments: Climate data reporting only captures flows from AsDB Special Funds. Therefore, in this section of the report, only the proportions of green infrastructure of AsDB Special funds are taken into account. 3.:
 EU Institutions' green infrastructure commitments: As a DAC member, the EU institutions report their climate related data using the Rio Marker approach instead of the climate-related component approach used by other multilaterals. 3.:
 For an outline of the treatment and coverage of multilateral climate data, please see a technical note on the treatment of climate-related multilateral flows in DAC statistics available at http://www.oecd.org/dac/stats/documentupload/RD%2016%20-%20Treatment%20of%20green%20multilater%20flows%20in%20OECD%20DAC%20statistics.pdf"
"Coding Error or Statistical Embellishment? The Political Economy of Reporting Climate Aid","https://scispace.com/paper/coding-error-or-statistical-embellishment-the-political-1h2z9s60zy","2011","Journal Article","World Development","Axel Michaelowa
Katharina Michaelowa","10.1016/J.WORLDDEV.2011.07.020","https://www.zora.uzh.ch/id/eprint/57323/1/am_coding_error.pdf","","marker"" by DAC donors. Relevance to adaptation, which is excluded by the formal definition of the Rio marker, roughly adds up to another 10%. The latter may, at least in part, be due to a misunderstanding of the Rio marker. CONCLUSIONS:
 In addition to these two variables characterizing the substance of the project, a number of political variables are systematically related to the coding decision. In line with the politico-economic framework, we find that general ecological preferences of the donor country population and the ideological preferences of the donor government influence the coding decision. While the former leads to stronger over-coding, the latter leads to reduced over-coding-presumably because in this case, the government pushed for actual climate policy. We also find some evidence for the impact of information on climate policy by the media, although this effect is only relatively small and changes from a positive effect of information, to a negative one (implying more over-coding) in the following year. CONCLUSIONS:
 All in all, our results imply that for a given relevance of any project to climate change mitigation or adaptation, politicoeconomic factors significantly influence the statistics reported to the DAC. What we observe in the data is clearly inconsistent with a simple random error around an otherwise correct coding of climate relevant aid. NOTES 1. Lead reduction is needed to employ catalytic converters. It thus generates twofold environmental benefits by reducing both lead and NO x . But these benefits do not arise with respect to greenhouse gases. In fact, CO 2 emissions actually increase since the efficiency of motors is reduced. CONCLUSIONS:
 2. For more recent analyses, see for example  and Berthe ´lemy (2006); for a meta-analysis of some of this literature, see . CONCLUSIONS:
 3. We use the term ""climate aid"" as a short hand for climate changerelated aid."
