"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"The future of climate finance research: a new materialist agenda","https://scispace.com/paper/the-future-of-climate-finance-research-a-new-materialist-53wxix6fzm","2024","Journal Article","","Jennifer Gippel","10.4337/9781803927008.00028","","… In this chapter, I use issues of climate finance to interrogate what specific … question, ‘what is climate finance research?’ I then ask the … Performativity in the Green Economy: how far does …",""
"Governing climate finance: Paradigms, participation and power in the Green Climate Fund","https://scispace.com/paper/iipeni65IUAJ","","","","JA Bruun","","https://research.manchester.ac.uk/files/184631124/FULL_TEXT.PDF","… contributed to the depoliticisation of climate finance. Through this work, this thesis contributes to debates about the implications of civil society participation in global climate finance. …",""
"Stretching scales? Risk and sociality in climate finance","https://scispace.com/paper/RPzJhIPGWWEJ","","","","B Christophers
P Bigger","","","… The quantification and pricing of this risk adheres to highly developed practices of the financial industry, relying on credit rating agencies, the pricing judgement of the underwriter, …",""
"Defining climate finance justice: critical geographies of justice amid financialized climate action","https://scispace.com/paper/defining-climate-finance-justice-critical-geographies-of-1v3xyezrigcc","2024","Journal Article","Geography Compass","Lauren Gifford
Laura Aileen Sauls","10.1111/gec3.70008","https://compass.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/gec3.70008","… In considering a path forward for climate finance justice, we must consider climate finance … political ecology, combining ecological sciences, political economy, and a look at the uneven …","ABSTRACT Given the exponential growth in financial investments to support climate change mitigation and adaptation, particularly shaped as capital flows from the Global North to the Global South, an incredible amount of research has come out in recent years interrogating various modes of climate finance. This article provides an overview of “climate finance justice,” an emerging subfield of scholarship that asks “What kinds of justice and injustice do we see in climate finance? How does climate justice influence flows and constructions of capital? And how can finance be more just?” As climate finance is often framed as a response to calls for climate justice, climate finance justice offers a space in which to rigorously and comprehensively analyze the outcomes of these flows of capital, finance and power. Yet the field is still new, and would benefit from further inclusion of a broader array of fields and influences, including postcolonial, poststructural, feminist, indigenous, urban, post‐political and other critical perspectives to inform scholarship, and challenge dominant conceptualizations of justice and equity. This article highlights the field of climate finance justice and explores the United Nations Framework Convention on Climate Change (UNFCCC) and voluntary carbon markets (VCMs) as a means of understanding its applied implications. It situates the evolution of the subfield within the broader literature on neoliberal natures, political ecology, and the critical geographies of the carbon economy. "
"The politics of 'green'finance as knowledge contestations","https://scispace.com/paper/qRRMgDmeqkQJ","","","","M Taeger
A Stenström
T Trapp
F Liu","","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F48D50236550A0C6C52BEB9E67664AB0/S2059599925100228a.pdf/politics_of_green_finance_as_knowledge_contestations.pdf","… markets identified in economic sociology, political economy, and neighbouring disciplines. … , as other asset managers had already left climate-finance initiatives over the previous years. …",""
"The Expert Epistemology of Climate Finance: Re‐Visiting the Depoliticisation Critique","https://scispace.com/paper/the-expert-epistemology-of-climate-finance-re-visiting-the-lo09l8ud8vhq","2025","Journal Article","Antipode","Jonathan Barnes","10.1111/anti.70002","https://onlinelibrary.wiley.com/doi/pdf/10.1111/anti.70002","… This limits the scope and participation in climate finance, empowering unevenly, rather than voiding politics. These effects are demonstrated by bringing together the depoliticisation …",""
"Rethinking governance in international climate finance: Structural change and alternative approaches","https://scispace.com/paper/rethinking-governance-in-international-climate-finance-3ie14ytj","2022","Journal Article","Wiley Interdisciplinary Reviews: Climate Change","Katherine E. Browne","10.1002/wcc.795","https://wires.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wcc.795","… climate finance appears to be a continuation of these largely ineffective policies. I argue, however, that important structural differences between climate finance … climate finance: (1) that it …","International public finance plays an increasingly prominent role in global efforts to combat climate change and, as it grows, it faces a familiar challenge: governance. Global organizations not only disburse climate funding, but are also expected to ensure the “good governance” of climate programs in recipient countries. Many of these same organizations faced similar challenges in disbursing development finance. In what became known as the “institutionalist turn,” they sought to reform governance and build effective institutions in recipient countries. At first glance, the approach to governance in climate finance appears to be a continuation of these largely ineffective policies. I argue, however, that important structural differences between climate finance and development finance have been overlooked, and that these differences create space for alternatives approaches to governance. I first examine the literature on what led to the ineffectiveness of governance reforms tied to development finance, concluding that global organizations have been consistently unable to recognize and grapple with how power actually works in recipient countries, especially informal power. I then highlight three new principles underlying climate finance: (1) that it is restitution not aid, (2) that recipient countries should control resource allocation, and (3) that funding should support mitigation and adaptation. I demonstrate how each new principle has produced shifts in decision‐making authority away from contributors and toward recipient countries. I discuss how alternative approaches could emerge both from forums where recipient countries exercise newfound authority, and from experimentation on the part of multilateral organizations."
"Climate, coloniality and financialization: A decolonial analysis of global climate finance","https://scispace.com/paper/OnwIaB468L0J","","","","J Rybol","","https://lup.lub.lu.se/luur/download?func=downloadFile&recordOId=9114372&fileOId=9114373","… the idea of climate finance into the larger context of critical political economy and ecology. For illustrative purposes, I analyze a few key nodes within the climate finance landscape, …",""
"Making climate finance: toward everyday, historically informed, and reparative understandings","https://scispace.com/paper/making-climate-finance-toward-everyday-historically-informed-74j1ne85t78n","2024","Journal Article","City","Mark Kear
C. S. Ponder
Hanna Hilbrandt","10.1080/13604813.2024.2400442","","… A wider and more inclusive conceptualization of urban climate finance … climate finance expands to include everyday financial life in cities around the world. Everyday climate finance is …",""
"Climate finance and global justice","https://scispace.com/paper/climate-finance-and-global-justice-zfoe6igwipb3","2025","Journal Article","Climate Policy","Yannis Dafermos","10.1080/14693062.2025.2482104","https://www.tandfonline.com/doi/pdf/10.1080/14693062.2025.2482104","… the channels by which climate finance initiatives and policies … and international climate finance so as for climate finance … The paper also outlines the political economy and technical …",""
