year,js_w2,cos_w2,js_w3,cos_w3,js_w4,cos_w4,z_js_w2,z_js_w3,z_js_w4,z_cos_w2,z_cos_w3,z_cos_w4
2005,,,,,,,,,,,,
2006,,,,,,,,,,,,
2007,,,,,,,,,,,,
2008,,,,,,,,,,,,
2009,0.04622533513412914,0.021439015865325928,0.05042090262854545,0.02398616075515747,0.04288507150623417,0.020198404788970947,3.3720880425119573,3.252743888747943,2.820965298888028,3.365875123948891,3.4237809941322137,3.264458566934427
2010,0.011086977531330602,0.010014593601226807,0.008732684729549769,0.009780645370483398,0.009985341100391582,0.009440600872039795,-0.05926262843330524,-0.5221865074043329,-0.7043508675416986,0.8124259106504392,0.5059246751608122,0.3959523717886783
2011,0.0038042565825531227,0.006868243217468262,0.005690350397840847,0.0059299468994140625,0.007553873721420619,0.0066484808921813965,-0.7704389929172409,-0.7976744251620816,-0.9648907307410222,0.10919158278282629,-0.28502057124574515,-0.3485502722136678
2012,0.008801228441552579,0.004345417022705078,0.009649720963040844,0.004926800727844238,0.011768572936946544,0.005469560623168945,-0.2824718848670119,-0.43914750677912623,-0.5132716111359081,-0.45468013111121175,-0.49106986381311496,-0.6629025434911506
2013,0.015942328346135442,0.005223274230957031,0.017126116101395215,0.005880415439605713,0.017444260512266982,0.007048547267913818,0.414874821711158,0.23785123972039596,0.09489729839801908,-0.2584720650943098,-0.29519448462206627,-0.2418748869659574
2014,0.009639377786347863,0.005048692226409912,0.014061950297899008,0.006316065788269043,0.01761572123393514,0.007407784461975098,-0.20062445337560442,-0.03961355041511281,0.11326988828091733,-0.29749253123794817,-0.20571057022070524,-0.14608636686942122
2015,0.012561441558350015,0.0055272579193115234,0.017589132925077865,0.0065479278564453125,0.021594523749341548,0.007640540599822998,0.08472256249647139,0.27977810466541014,0.5396118873661905,-0.19052929372778346,-0.1580853920812478,-0.08402328889082927
2016,0.007440472201213716,0.004021942615509033,0.014648833484465294,0.005755603313446045,0.020149730510316172,0.007220745086669922,-0.4153532190221358,0.01352959869544572,0.3847974588023622,-0.5269792331124153,-0.3208312771732292,-0.19595933452545747
2017,0.012551455607228451,0.00506281852722168,0.014094904613850809,0.005780577659606934,0.021662937555692114,0.007922351360321045,0.08374740877789588,-0.03662948788520896,0.5469426555688324,-0.2943351906862096,-0.31570147006771954,-0.008880079497030863
2018,0.0136047557017848,0.005842268466949463,0.01938360834675934,0.007869184017181396,0.020989643190206252,0.009099900722503662,0.18660486236231685,0.44227053432181834,0.4747969120586717,-0.12012193163521645,0.11330466545534677,0.3051066474031132
2019,0.01139633786875011,0.0063738226890563965,0.017978393856124708,0.008475661277770996,0.021582452496022142,0.009274899959564209,-0.029052798669271667,0.3150262633706702,0.5383184121932628,-0.0013153365280239146,0.23787695017744945,0.3517691818320879
2020,0.005673829438957879,0.004770815372467041,0.008700935107554281,0.00552976131439209,0.0130613060469646,0.007834136486053467,-0.5878704122305162,-0.5250614830971653,-0.37475093405411924,-0.3596002175341729,-0.3672199146977547,-0.0324020655170862
2021,0.0033491351805071,0.003071010112762451,0.005090299282094982,0.004658818244934082,0.006294195107090686,0.005266785621643066,-0.8148827641920767,-0.8520099499274308,-1.099869508038677,-0.739520208481349,-0.546114285642164,-0.7169713248696833
2022,0.005508416880733705,0.00408482551574707,0.006989148408768603,0.004194796085357666,0.007550077570787678,0.0045427680015563965,-0.6040233724531103,-0.6800663253917286,-0.9652975009799093,-0.5129244049179673,-0.6414258568030061,-0.9100264358059077
2023,0.007822398146320284,0.004001617431640625,0.0073343214223836675,0.0041310787200927734,0.008241879043099132,0.004319310188293457,-0.37805717169952413,-0.6488103934594983,-0.8911686590649509,-0.5315220733155498,-0.6545135985590679,-0.9696101693121154
