doi,title,first_author,year,cited_by_count,teaching_count,teaching_institutions,teaching_levels,teaching_regions,in_corpus
10.1093/rfs/hhz134,Is the Risk of Sea Level Rise Capitalized in Residential Real Estate?,Justin Murfin,2019.0,346.0,1,Harvard FECS,doctoral,Global,True
10.1257/jel.20151335,The Economics of the Climate,Geoffrey Heal,2017.0,76.0,1,Harvard FECS,doctoral,Global,True
10.1111/jacf.12502,The Financial Cost of Carbon,Patrick Bolton,2022.0,80.0,1,Harvard FECS,doctoral,Global,True
10.1080/0015198x.2022.2033105,Net-Zero Carbon Portfolio Alignment,Patrick Bolton,2022.0,74.0,1,Harvard FECS,doctoral,Global,True
10.1146/annurev-financial-111620-014802,The Pricing and Ownership of US Green Bonds,Malcolm Baker,2022.0,305.0,1,Harvard FECS,doctoral,Global,True
10.1257/aer.104.5.544,Fat Tails and the Social Cost of Carbon,Martin L. Weitzman,2014.0,132.0,1,Harvard FECS,doctoral,Global,True
10.2307/2676219,The Effect of Green Investment on Corporate Behavior,Robert Heinkel,2001.0,1463.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhz144,Pricing Uncertainty Induced by Climate Change,Michael Barnett,2019.0,430.0,1,Harvard FECS,doctoral,Global,True
10.1007/s11142-024-09830-y,Corporate carbon accounting: balance sheets and flow statements,Stefan Reichelstein,2024.0,26.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jacceco.2017.08.001,The real effects of mandated information on social responsibility in financial reports: Evidence from mine-safety records,Hans Bonde Christensen,2017.0,539.0,1,Harvard FECS,doctoral,Global,True
10.1111/1475-679x.12481,Executive Compensation Tied to ESG Performance: International Evidence,Shira Cohen,2023.0,298.0,1,Harvard FECS,doctoral,Global,True
10.1080/14693062.2021.2013155,Assessing the rapidly-emerging landscape of net zero targets,Thomas Hale,2021.0,172.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jfineco.2018.08.013,Do institutional investors drive corporate social responsibility? International evidence,Alexander Dyck,2018.0,498.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhv044,Active Ownership,Elroy Dimson,2015.0,1081.0,1,Harvard FECS,doctoral,Global,True
10.1287/mnsc.2022.4472,Climate Impact Investing,Tiziano De Angelis,2022.0,124.0,1,Harvard FECS,doctoral,Global,True
10.1093/rof/rfac033,Aggregate Confusion: The Divergence of ESG Ratings,Florian Berg,2022.0,2314.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhz143,Do Fund Managers Misestimate Climatic Disaster Risk,Shashwat Alok,2019.0,361.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhad041,Sea-Level Rise Exposure and Municipal Bond Yields,Paul Goldsmith-Pinkham,2023.0,134.0,1,Harvard FECS,doctoral,Global,True
10.1111/jofi.13255,Presidential Address: Sustainable Finance and ESG Issues—<i>Value</i>versus<i>Values</i>,Laura T. Starks,2023.0,356.0,1,Harvard FECS,doctoral,Global,True
10.1287/mnsc.2014.2038,Does Corporate Social Responsibility Lead to Superior Financial Performance? A Regression Discontinuity Approach,Caroline Flammer,2015.0,1681.0,1,Harvard FECS,doctoral,Global,True
10.1257/pol.20200378,Adaptation and Adverse Selection in Markets for Natural Disaster Insurance,Katherine R. H. Wagner,2022.0,83.0,1,Harvard FECS,doctoral,Global,True
10.1002/smj.3313,Shareholder activism and firms' voluntary disclosure of climate change risks,Caroline Flammer,2021.0,519.0,1,Harvard FECS,doctoral,Global,True
10.1093/rfs/hhad097,The Effect of Carbon Pricing on Firm Emissions: Evidence from the Swedish CO2 Tax,Gustav Martinsson,2024.0,87.0,1,Harvard FECS,doctoral,Global,True
10.1162/qjec.2010.125.3.877,Estimating Welfare in Insurance Markets Using Variation in Prices<sup>*</sup>,Liran Einav,2010.0,371.0,1,Harvard FECS,doctoral,Global,True
10.1016/j.jacceco.2020.101312,Where's the greenium?,David F. Larcker,2020.0,385.0,1,Harvard FECS,doctoral,Global,True
10.1257/aer.20121036,The Cost of Financial Frictions for Life Insurers,Ralph S. J. Koijen,2015.0,208.0,1,Harvard FECS,doctoral,Global,True
