year,js_w2,cos_w2,js_w3,cos_w3,js_w4,cos_w4,z_js_w2,z_js_w3,z_js_w4,z_cos_w2,z_cos_w3,z_cos_w4
2005,0.0439515919416857,0.045302927,0.022490710139405436,0.036983192,0.030522950619547067,0.03769934,-0.06932707499058997,-0.800188442239371,-0.6233353201881665,0.8690281,0.5092309,0.5801872
2006,0.06365239253921079,0.04585606,0.024336034535999022,0.035785317,0.029865972574019656,0.031037152,0.5465974708607191,-0.7313728741520146,-0.6514952284513393,0.9027205,0.4283632,0.12367986
2007,0.09518047025243467,0.051006258,0.06701696033702254,0.036702752,0.02884445542489656,0.027262866,1.532289237596417,0.8602779818782633,-0.6952802976852304,1.2164303,0.4902986,-0.13494214
2008,0.016426541960799766,0.033843994,0.03031439912346951,0.026379466,0.04546395098074876,0.026079595,-0.9298684436059098,-0.5084285744508044,0.017077555699809486,0.17103961,-0.20661956,-0.21602239
2009,0.043726711442937466,0.028867066,0.05509663058741034,0.029644072,0.047903781652539404,0.023474574,-0.0763577242465254,0.4157467845329974,0.12165549154261847,-0.13211589,0.01377182,-0.39452392
2010,0.07942479698627256,0.027441502,0.060031358508231464,0.023290932,0.06954028086053682,0.024962425,1.0397048955031511,0.5997719379719862,1.0490560903621666,-0.21895011,-0.41512442,-0.29257324
2011,0.06219604161918381,0.028727114,0.07369183666617732,0.030738413,0.05642298278569899,0.025269747,0.5010662106168872,1.109196495800018,0.48681217222393974,-0.14064065,0.08765007,-0.27151492
2012,0.054446974029606764,0.027736902,0.05239671835748225,0.024862051,0.04968223786018677,0.026989639,0.258799866553645,0.3150620516852245,0.19788507637937772,-0.20095661,-0.30905923,-0.15366428
2013,0.04035145391430649,0.02244234,0.03604146999205905,0.023271203,0.04955838626006405,0.022693157,-0.18188155563408887,-0.2948554834397838,0.19257645195661907,-0.52345985,-0.4164563,-0.44806826
2014,0.01148318557414637,0.020821631,0.022518161265634905,0.021106422,0.030473164404814866,0.024499357,-1.0844172154874523,-0.799164738846295,-0.6254692959719447,-0.62218076,-0.56259924,-0.32430366
2015,0.017852949910198132,0.01619351,0.025099786870834733,0.019807994,0.03482816439475565,0.023420215,-0.8852733184442322,-0.7028911335448971,-0.43880187072427107,-0.90408975,-0.6502552,-0.39824876
2016,0.017835659377073723,0.017822742,0.027927736165133457,0.018957317,0.039664012075027094,0.02072239,-0.8858138885448968,-0.5974316611786054,-0.23152397463902194,-0.80484957,-0.7076839,-0.58310944
2017,0.02471901520178669,0.017064393,0.030009243132857383,0.019173622,0.04469524444186311,0.022600472,-0.6706131006742811,-0.5198084071176233,-0.01587134687568435,-0.85104233,-0.69308126,-0.45441926
2018,0.03648679584993558,0.020738125,0.049331910423511205,0.024135232,0.043727790112343644,0.024580598,-0.30270597347359934,0.2007696814959064,-0.05733913313360555,-0.6272673,-0.3581263,-0.31873685
2019,0.04585433966028444,0.025953054,0.043383546927444894,0.024322331,0.04235718270737944,0.025698304,-0.009839694330802534,-0.021055821883079803,-0.11608718270904136,-0.30961466,-0.34549537,-0.24214925
2020,0.03969787006028222,0.025610387,0.03169201324708508,0.025924385,0.03434602283296882,0.026330292,-0.20231515864797942,-0.4570547896047517,-0.45946780049499936,-0.33048725,-0.2373418,-0.19884409
2021,0.019635299429504847,0.022498071,0.025033249260336548,0.02433449,0.024111314904884135,0.024824321,-0.8295500592399744,-0.7053724444049606,-0.8981558789129972,-0.5200652,-0.3446745,-0.3020364
2022,0.02447797533342219,0.026292086,0.026028148832726125,0.027769148,0.025402483033173183,0.029766917,-0.6781489554086878,-0.6682707947490842,-0.8428128179195913,-0.28896353,-0.11280303,0.036640704
2023,0.13981225610665915,0.085466266,0.1325753057753861,0.08617306,0.12883463749118096,0.087500215,2.9276544815982013,3.3050702322468752,3.5905773095413593,3.3154643,3.830006,3.9926481
