year,js_w2,cos_w2,js_w3,cos_w3,js_w4,cos_w4,z_js_w2,z_js_w3,z_js_w4,z_cos_w2,z_cos_w3,z_cos_w4
2005,0.01448109773194723,0.008207202,0.007467450974266238,0.007130623,0.007933523281698579,0.008666575,-0.6824133906206561,-1.7906455049810899,-1.9131722318571889,-0.018374184,-1.0691904,-1.1374942
2006,0.017819040477852672,0.009403706,0.02224737739287992,0.0106960535,0.021405376415713877,0.010003805,-0.2585443379032076,-0.3677533812244348,-0.8791978441448188,0.41077855,0.15266196,-0.7358338
2007,0.023979447844558997,0.013542116,0.025121182483932476,0.0132549405,0.027203807325346233,0.013876796,0.5237357171044742,-0.09108660268616854,-0.43416411420148665,1.8951117,1.0295776,0.42748648
2008,0.027303886767994022,0.015496314,0.03129507251307237,0.016910374,0.035536551019713467,0.0184142,0.9458899853350944,0.5032857403546901,0.20537993913986047,2.5960283,2.2822735,1.7903748
2009,0.02520414269978795,0.010601282,0.034271408737327536,0.014762759,0.040970344816787345,0.017515004,0.6792537375350541,0.7898233895415478,0.6224275092398299,0.8403161,1.5462984,1.5202857
2010,0.026216136864776703,0.0093746185,0.030666802969633315,0.012003064,0.041587319396929306,0.01601088,0.8077619357645034,0.44280101535431543,0.6697807506528949,0.40034583,0.6005669,1.068496
2011,0.016273777223894503,0.007098496,0.026293326067751713,0.010660589,0.035926759078926604,0.013819635,-0.4547697742015945,0.021757928882529812,0.23532868747401656,-0.41603634,0.1405084,0.4103172
2012,0.021677330633080163,0.008239031,0.03194148124996822,0.010620654,0.044798529958608245,0.015077293,0.23140109187129773,0.5655167606186506,0.9162434637850604,-0.0069580455,0.12682286,0.78807676
2013,0.028131532343523287,0.008648992,0.04316621478380106,0.012738168,0.04970056945720244,0.014342427,1.0509886562202404,1.646143584067752,1.2924785101947516,0.14008352,0.8524828,0.567347
2014,0.03576865948344995,0.009827495,0.04008248580295193,0.011187553,0.052824149359655556,0.0146487355,2.020790145552057,1.3492670263384523,1.5322155073978236,0.56277996,0.32109612,0.65935206
2015,0.03139502251596367,0.008945584,0.043819142797253435,0.012138903,0.05057413846800639,0.014751196,1.4654033401275222,1.7090022277042611,1.3595255581461492,0.24646312,0.64711815,0.6901278
2016,0.024877465896322407,0.007201791,0.03525365323943784,0.010502517,0.04588062604785527,0.0139917135,0.637770645172383,0.8843859689530307,0.9992951145264208,-0.37898734,0.08633821,0.46200404
2017,0.014460776245394978,0.0051330924,0.02326506791392416,0.007851243,0.036003552759713606,0.011684179,-0.6849939169838717,-0.2697783449622799,0.24122265753752878,-1.1209722,-0.822238,-0.23110412
2018,0.010542336613402103,0.0048207045,0.017919350089295995,0.007093489,0.029508869838587963,0.010008991,-1.182577435149578,-0.7844209468976713,-0.25724891351910745,-1.2330171,-1.0819159,-0.73427624
2019,0.00975602183510383,0.00584805,0.018038958817817558,0.0077513456,0.026412772308349403,0.009540021,-1.2824277098805816,-0.772905983093011,-0.4948766189491214,-0.86453664,-0.85647225,-0.87513936
2020,0.011244461612271862,0.005774617,0.017499790148015143,0.0075225234,0.023817173414347526,0.009928346,-1.0934180094748167,-0.8248127945282852,-0.6940906951771475,-0.89087504,-0.9348883,-0.7584994
2021,0.012604746049364362,0.005792916,0.0170977822666803,0.007686615,0.01994831181419463,0.008735299,-0.9206821300221322,-0.8635148713748287,-0.99102859706546,-0.8843118,-0.8786551,-1.1168517
2022,0.01289718297504196,0.006361842,0.015532560495693085,0.0071330667,0.01763038124262197,0.0077091455,-0.8835469925729896,-1.0142018008486666,-1.1689314304514777,-0.6802537,-1.0683529,-1.4250748
2023,0.012613097989871373,0.0065923333,0.014299993500133132,0.0071164966,0.016688946099390235,0.00789386,-0.9196215578731934,-1.132863411218792,-1.2411872527285288,-0.5975829,-1.0740314,-1.3695925
