doi,title,first_author,year,journal,cited_by_count,abstract,source_count,in_v1
10.22617/spr230536-2,Climate Change Action Plan 2023–2030,,2023.0,,182.0,"Setting out ADB’s ambitious climate targets, this publication lays out action how ADB plans to catalyze climate finance and incentivize innovation to help shepherd Asia and the Pacific towards a low-carbon, climate-resilient future. Underscoring why hard-fought development gains are at risk, the publication shows how ADB plans to invest $100 billion of its own funds and work with the public and private sector to maximize its climate impact. With the region on the frontline of the growing climate crisis, ADB aims to help decarbonize transport and energy, employ climate-smart planning to boost resilience, and work with partners to develop climate-critical outcomes.",1,True
10.1080/17565529.2017.1410087,The international climate finance accounting muddle: is there hope on the horizon?,Romain Weikmans,2017.0,Climate and Development,158.0,"The sources and governance of climate finance have been widely debated since the 2009 climate change summit in Copenhagen, when rich countries promised to provide US$ 30 billion in additional climate finance by 2012 and to mobilize US$ 100 billion a year by 2020 to address the mitigation and adaptation needs of developing countries. Have developed countries respected their financial commitments? Which countries have been the main beneficiaries of international climate money? As simple as these questions may seem, answers to them have proved to be highly controversial and have contributed to a continuous erosion of trust between Parties in international climate negotiations. This article explores the controversies around international climate finance figures. It examines how the lack of internationally agreed modalities to account for climate finance has given rise to a plethora of accounting and reporting practices that leads to widely contrasting statements on climate finance. We show that, despite some gaps, the Paris Agreement’s “enhanced transparency framework” could lead to marked improvements in the way climate finance is accounted and reported.",2,True
10.1080/14693062.2019.1635874,Conditional nationally determined contributions in the Paris Agreement: foothold for equity or Achilles heel?,Pieter Pauw,2019.0,Climate Policy,141.0,"The Paris Agreement’s success depends on parties’ implementation of their Nationally Determined Contributions (NDCs) towards the Paris Agreement’s goals. In these climate action plans, most developing countries make their mitigation and adaptation contributions conditional upon receiving international support (finance, technology transfer and/or capacity building). While provision of support for NDC implementation could enhance equity among countries, the feasibility of NDC implementation might be challenged by the large number of conditional NDCs. This paper addresses the implications of this tension based on an analysis of all 168 NDCs. We find that feasibility is challenged because conditions applied to NDCs are often not well defined. Moreover, the costs of implementing all conditional contributions are too high to be covered by existing promises of support from developed countries, even if the entire annual $100 billion of climate finance were earmarked for NDC implementation. Consistent with principles of equity and the prioritization in the Paris Agreement, a higher proportion of Least Developed Countries (LDCs) and Small Island Developing States (SIDS) have conditional NDCs than do other countries. However, differences between the distribution of countries requesting support and those currently receiving support, in particular among middle-income countries, demonstrates potential tensions between feasibility and equity. The article concludes with recommendations on how cost estimates and updated NDCs can be strengthened to ensure support for NDC implementation is targeted more equitably and cost-effectively.Key policy insights Support requested by developing countries to implement conditional NDCs far exceeds existing funding pledges.Differences between existing patterns of financial assistance, and those implied by requests under conditional NDCs, mean that supporting NDCs may require a significant shift in provider countries’ priorities for allocating climate finance. This may challenge feasibility.The Paris Agreement’s provisions on prioritizing LDCs and SIDS offer valuable guidance in making difficult choices on allocating support.To increase the likelihood of attracting support, developing countries (assisted by capacity building as needed), should include credible cost estimates in future NDCs and formulate investment plans.By outlining plans to mobilize support in their NDCs, developed countries can reassure developing countries that raising the ambition of NDCs is feasible.",1,True
10.1002/wcc.437,From climate finance toward sustainable development finance,Jan Christoph Steckel,2016.0,Wiley Interdisciplinary Reviews Climate Change,136.0,"Decarbonizing the global energy system requires large‐scale investment flows, with a central role for international climate finance to mobilize private funds. The willingness to provide international finance in accordance with common but differentiated responsibilities was acknowledged by the broad endorsement of the Paris Agreement, and the Green Climate Funds in particular. The international community aims to mobilize at least USD 100 billion per year for mitigation and adaption in developing countries. In this article, we argue that too little attention has been paid on the spending side of climate finance, both in the political as well as the academic debate. To this end, we review the challenges encountered in project‐based approaches of allocating climate finance in the past. In contrast to project‐based finance, we find many advantages to spending climate finance in support of price‐based national policies. First, the support for international climate cooperation is improved when efforts of successively rising domestic carbon pricing levels are compensated. Second, carbon pricing sets incentives for least‐cost mitigation. Third, investing domestic revenues from emission pricing schemes could advance a country's individual development goals and ensure the recipient's ‘ownership’ of climate policies. We conclude that by reconciling the global goal of cost‐efficient mitigation with national policy priorities, climate finance for carbon pricing could become a central pillar of sustainable development and promote international cooperation to achieve the climate targets laid down in the Paris Agreement. WIREs Clim Change 2017, 8:e437. doi: 10.1002/wcc.437 This article is categorized under: Climate Economics &gt; Economics and Climate Change Climate and Development &gt; Decoupling Emissions from Development",2,True
10.1007/s10784-016-9347-4,"Postface: fragmentation, failing trust and enduring tensions over what counts as climate finance",J. Timmons Roberts,2017.0,International Environmental Agreements Politics Law and Economics,128.0,"The Paris Agreement commits nations in Article 2(1) to “Making finance flows consistent with a pathway towards low greenhouse gas emissions and climate-resilient development.” However there is an absence of internationally agreed accounting rules that would permit overall assessments of progress to this goal and any meaningful comparisons of performance between countries. This is true also for the quantitative Copenhagen/Cancun promise by developed nations to jointly mobilize US$100 billion by 2020. Our goal is to provoke discussion about the depth of the problems this lack of a functional definition and accounting system have created and perpetuated. We do so by describing the fragmented system of national reporting of climate finance and how the OECD’s Rio Marker system is serving neither contributors nor recipients. More than a trust issue between developed and developing countries, we argue that the lack of modalities to account for climate finance also considerably impedes the effective functioning of the bottom-up approach that now prevails under the UNFCCC. The deadline to propose ""modalities of accounting climate finance"" by 2018 is a crucial window in which to address this chronic issue in international climate policy.",2,True
10.1080/14693062.2014.912978,Climate mitigation finance across developing countries: what are the major determinants?,Aidy Halimanjaya,2014.0,Climate Policy,113.0,"This empirical study assesses the relationship between the characteristics of developing countries and the amount of official climate mitigation finance inflow. A two-part model and robustness checks were used to analyse 1998–2010 Rio Marker data on 180 developing countries. The results show that developing countries with higher CO2 intensity, larger carbon sinks, lower per capita gross domestic product (GDP) and good governance tend to be selected as recipients of climate mitigation finance, and receive more of it. CO2 emission is not used as a determinant of mitigation finance until the actual financial disbursement. Poverty aid tends to be allocated to countries with low CO2 emissions, possibly to avoid diverting aid from poorer developing countries. However, such a diversion is unavoidable if the share of mitigation finance in climate finance and in overall official development assistance (ODA) continues to escalate. This study calls for an equitable allocation of total ODA mitigation and adaptation finance in addition to the 0.7% ODA/gross national income target, and for transparent criteria and the verification of reporting on the allocation of mitigation finance.",1,True
10.1080/14693062.2014.953906,Not a panacea: private-sector engagement in adaptation and adaptation finance in developing countries,Pieter Pauw,2014.0,Climate Policy,93.0,"The role of the private sector in climate finance is increasingly emphasized in international political debates. Knowledge of private engagement in mitigating climate change and in more advanced economies is growing, but the evidence base for private-sector engagement in climate change adaptation in developing countries remains weak. Starting from the premise that the private sector's role in adaptation is often inevitable and potentially significant, this article first analyses the potential of private-sector engagement in adaptation and adaptation financing in developing countries by conceptualizing the private sector's roles and motivation therein. For further inquiry, and for a discussion based on a developing-country context, interviews were conducted with key stakeholders for adaptation of Zambia's agricultural sector, including on ways in which the government can incentivize private-sector engagement in adaptation.How much private-sector adaptation and adaptation finance can be identified depends on the interpretation of the concept of adaptation. Under a broad interpretation, the domestic private sector in particular can contribute substantially to adaptation, both directly and indirectly, through its investments and activities. However, the international private sector's role in financing adaptation should be analysed under a strict interpretation of adaptation and appears limited.Policy relevanceInternational political debates increasingly stress the importance of private climate finance, yet are constrained by vagueness around the private sector's role in adaptation finance. This article conceptualizes and scrutinizes private-sector engagement in adaptation and adaptation finance in developing countries. It concludes that the domestic private sector in particular can contribute substantially to adaptation in direct and indirect ways, and that domestic policies incentivize such contributions. However, international private financing of adaptation is more limited and its analysis requires a stricter interpretation of adaptation. Private-sector engagement in adaptation and adaptation finance can supplement, but not substitute for, public investments in adaptation. These limitations are particularly important when discussing private adaptation finance as part of the developed countries' pledge to mobilize US$100 billion of climate finance per annum from 2020 onwards.",1,True
10.1080/17565529.2011.599550,New and additional to what? Assessing options for baselines to assess climate finance pledges,Martin Stadelmann,2011.0,Climate and Development,86.0,"All major climate policy agreements – the UN Framework Convention, the Kyoto Protocol and recently the Cancún Agreements – have stated that climate finance for developing countries will be ‘new and additional’. However, the term ‘new and additional’ has never been properly defined. Agreeing to a system to measure a baseline from which ‘new and additional’ funding will be calculated will be central to building trust and realizing any post-Kyoto agreement. We explore eight different options for a baseline, and assess each according to several criteria: novelty to existing pledges, additionality to development assistance, environmental effectiveness, distributional consequences, and institutional and political feasibility. Only two baseline options do well on these criteria and are therefore viable: ‘new sources only' and ‘above pre-defined business as usual level of development assistance’.",2,True
10.1080/14693062.2013.791146,Difficulties in accounting for private finance in international climate policy,Martin Stadelmann,2013.0,Climate Policy,79.0,"It is widely acknowledged that private finance has a key role to play in achieving low-carbon development and resilience to climate change. However, while there have been several studies that have closely examined the data on public climate finance, there have been few such studies of the private climate-related finance data. There is a political dimension to accounting for ‘private finance’ given the commitment of industrialized countries – enshrined in the Copenhagen Accord and the Cancun Agreements – to mobilize US$100 billion of public and private finance for developing countries by 2020, on an annual basis. The availability and quality of data for different types of private climate finance flows with climate benefits (investments, carbon market payments, and voluntary funding) are analysed, and these flows are assessed according to various criteria for inclusion in the $100 billion figure. While existing data suggest that private climate finance invested in developing countries and mobilized by industrialized countries might currently be in the range of $27–123 billion per year, this number is a questionable point of reference. Existing data are limited and of very poor quality: definitions of ‘private climate finance’ are missing and data are hardly verified. Therefore, policy makers will first have to clearly define ‘private climate finance’ and develop systems for measuring, reporting, and verifying it, before using private finance numbers in international climate agreements.",2,True
10.1787/5k44zcqbbj42-en,Monitoring and Tracking Long-Term Finance to Support Climate Action,B. Büchner,2011.0,OECD/IEA climate change expert group papers,76.0,"The Cancún Agreements formalise a collective commitment by developed countries to provide new and additional funding for action on climate change in developing countries both in the short- and longer-term. This collective financial commitment requires a system to measure, report and verify (MRV) the relevant financial flows across a variety of sources. However, the existing effort to track climate finance lacks transparency, comparability and comprehensiveness. The paper highlights the relevant information that needs to be tracked in order to build a comprehensive MRV system for climate finance, proposing both improvements to current reporting and tracking systems as well as new reporting approaches for a more robust and inclusive MRV system. The paper suggests tracking information along a multi-dimensional structure. This structure is aspirational, to be achieved and added to over time. Certain elements of it might not be feasible in the near term but could be developed with a targeted effort. For example, while not a priority in the near-term it is important to recognise the growing importance of South-South financial flows to support climate action and to anticipate adding reporting on this in future. Of course such a system must also be built up slowly, allowing reporting countries to build capacity to provide higher quality and more complete information over time. In particular, the paper outlines two strawman proposals for reporting on climate finance that integrate existing and new UNFCCC vehicles for reporting or recording information, (i.e. national communications and biennial reports, the registry) as well as drawing on other reporting systems. These are: (i) reporting through limited sources; or (ii) reporting through expanded sources, building on broader institutional collaboration and non-party reporting. Both 'strawman' proposals foresee an important oversight role from the UNFCCC to serve as recipient of all data, and to co-ordinate the verification and review and/or international consultation and analysis process. Both options advance a more comprehensive system for storing and accessing data on international climate finance and will facilitate comparison and integration of data across sources.",2,True
