first_author,year,title,doi,n_institutions,institutions
I. Robertson,2020,Principles of sustainable finance,10.1080/20430795.2020.1717241,5,"Cnam, Dipartimento di Management, MÁSTER UNIVERSITARIO EN DIRECCIÓN FINANCIERA Y CONTABLE DE LA EMPRESA, Universitat Pompeu Fabra, Université Paris - Dauphine"
,2021,Green Bond Principles,10.4337/9781786432636.00019,3,"Dipartimento di Scienze Economiche e Aziendali, One UN Climate Change Learning Partnership, Strategic Alliance on Green Bond Market Development in G20 Emerging Economies (STA)"
