term,mean_tfidf_before,mean_tfidf_after,diff,doc_freq_before,doc_freq_after,clean
2009,0.00021506392637445096,0.006019692825676636,0.005804628899302185,3,131,False
redd,7.09092504822149e-05,0.005808136938810394,0.005737227688328179,1,73,True
copenhagen,6.589852235520396e-05,0.005661767133330301,0.005595868610975096,1,88,True
finance,0.004046877748157514,0.009141462446471441,0.005094584698313927,44,176,True
low carbon,0.0006968472654732124,0.005726566622253497,0.005029719356780284,12,106,True
climate,0.01935696827705631,0.02419276550442782,0.00483579722737151,368,788,True
governance,0.00212990622169146,0.006189035029741159,0.004059128808049699,25,120,True
climate change,0.01568876417102977,0.019692313681917564,0.0040035495108877925,296,631,True
adaptation,0.0033848090113546363,0.007372132055332848,0.003987323043978211,32,132,True
2007,0.00032112603000285814,0.0038978262442281027,0.0035767002142252447,6,91,False
low,0.004760600442367747,0.00831133125681017,0.0035507308144424234,81,235,True
change,0.017232608861401506,0.0206091464450891,0.0033765375836875937,341,701,True
carbon,0.01917640899342478,0.022507856260172824,0.003331447266748045,315,675,True
financial,0.004983164944039836,0.00821650648665856,0.003233341542618725,83,214,True
mitigation,0.0057515314425200985,0.008933448742994904,0.003181917300474805,93,256,True
economy,0.003419303098192715,0.006414797205184907,0.002995494106992192,48,135,True
research,0.006592943112041946,0.009583899142006526,0.0029909560299645806,100,277,True
law,0.0023062101351229115,0.005245953706475574,0.002939743571352662,25,82,True
waste,0.0020186651586868148,0.004860736007924481,0.0028420708492376667,22,89,True
new,0.007863492408440167,0.010675242115495764,0.002811749707055597,140,334,False
carbon finance,0.0022284764342329327,0.005030575971104132,0.002802099536871199,19,73,True
green,0.0019166700632637702,0.004532759317832092,0.002616089254568322,21,98,True
post,0.002430478410684125,0.004974289359072375,0.00254381094838825,30,123,True
carbon economy,0.0,0.002530398046277621,0.002530398046277621,0,30,True
published,0.00026550980047143705,0.0027722484720840157,0.0025067386716125786,4,48,True
degradation,0.001184517961139573,0.003648744910821251,0.002464226949681678,17,86,True
practices,0.0016392731328566056,0.004101162234979988,0.0024618891021233823,25,93,True
innovation,0.001070986097331106,0.0034334893065168346,0.002362503209185729,13,68,True
status,0.0013408881447676986,0.0036941950080400456,0.002353306863272347,17,67,True
deforestation,0.0027042159790970095,0.005037350332236763,0.0023331343531397533,32,104,True
global,0.013650598505444795,0.015866174464437242,0.002215575958992447,256,556,True
bali,0.0,0.0022082328362959727,0.0022082328362959727,0,39,True
cap trade,0.0012412457789025607,0.003448007493345755,0.0022067617144431945,12,55,True
thesis,0.0025951261638721005,0.0047809462141745595,0.002185820050302459,29,89,True
funding,0.0019839825265436325,0.004157214406820618,0.0021732318802769857,20,84,True
2010,0.0011618384664641346,0.0033308485545717236,0.002169010088107589,14,63,False
org,0.0005331016221888835,0.0026944904427706777,0.002161388820581794,8,46,True
2008,0.0026084213044051253,0.004743357865956754,0.002134936561551629,46,122,False
post 2012,0.0008279414735978131,0.0029549476572626444,0.0021270061836648315,7,60,True
agricultural,0.002289760278931806,0.0043770197292686925,0.0020872594503368864,31,95,True
existing,0.003436738746727411,0.005505567082539514,0.0020688283358121025,52,157,True
food,0.0012901598819121203,0.003357184487307059,0.002067024605394939,15,62,True
security,0.001638062237362992,0.0036757595803510496,0.002037697342988058,16,75,True
action,0.0030806586716171213,0.005104885912664331,0.00202422724104721,40,134,True
data,0.00418020537873891,0.006204238278530198,0.0020240328997912877,60,171,True
society,0.0014986654207787423,0.003517276389693895,0.0020186109689151526,20,77,True
climate finance,2.064905298408819e-05,0.0019620886561047585,0.0019414396031206703,1,26,True
crisis,0.0004750285511046006,0.0023738244100663286,0.0018987958589617281,8,46,True
emissions deforestation,0.00031258830535232533,0.0021977551546749356,0.0018851668493226103,4,51,True
carbon markets,0.0009496193500593831,0.0028092435766048853,0.0018596242265455022,11,59,True
human,0.0029176501273364417,0.004757612442152738,0.001839962314816296,43,117,True
rural,0.002332028727712634,0.004145149277103366,0.0018131205493907322,30,89,True
win,0.0006482958225912798,0.0024530765359733883,0.0018047807133821083,6,31,True
legal,0.0023263996785191083,0.0041132351153604745,0.001786835436841366,30,80,True
state,0.003411007080850477,0.0051956996824444835,0.0017846926015940064,51,124,True
ets,0.002623824169211201,0.004403909616733557,0.0017800854475223558,17,58,True
group,0.0013343725330276423,0.0031119023822322824,0.0017775298492046401,17,69,True
methodology,0.0026479063153928284,0.004406298335145734,0.001758392019752906,29,100,True
carbon market,0.003195041580678551,0.004950295456400031,0.0017552538757214802,34,113,True
challenges,0.00375242183121883,0.005502176032914409,0.0017497542016955791,58,150,True
voluntary carbon,0.0,0.001730055507538909,0.001730055507538909,0,28,True
copenhagen accord,0.0,0.0017131247214868866,0.0017131247214868866,0,22,True
support,0.0042546752718438784,0.005954740528752865,0.0017000652569089869,68,170,True
water,0.002912701727227555,0.004598554613098447,0.0016858528858708925,33,102,True
generation,0.0036007326192451865,0.005275931816551191,0.001675199197306004,49,125,True
performance,0.0017987740767005274,0.003472357660173747,0.0016735835834732196,26,79,True
farmers,0.0012392263011124195,0.00290772431499139,0.0016684980138789707,13,51,True
plan,0.0012709345119602427,0.002905339449058895,0.0016344049370986523,14,66,True
improving,0.0010231136909244552,0.0026352269835732056,0.0016121132926487504,15,63,True
eu ets,0.0013068180790339582,0.0029177209335463894,0.0016109028545124313,11,38,True
tax,0.0017675226694991546,0.0033419048457221604,0.0015743821762230058,15,48,True
brazil,0.0021296188088922733,0.003694053944903552,0.001564435136011279,22,68,True
hydropower,0.0007219192115736074,0.002275655618419786,0.0015537364068461787,6,24,True
december,0.0014531552570780017,0.0029996425905462003,0.0015464873334681986,24,69,True
anaerobic,0.00016235741856695328,0.0017070967942199808,0.0015447393756530274,2,27,True
biogas,0.000939777652991875,0.0024810544498483104,0.0015412767968564353,6,33,True
city,0.0010562226052190675,0.0025849847199978094,0.001528762114778742,12,43,True
year,0.003512128991921391,0.005039354395891278,0.0015272254039698872,55,129,True
national,0.007272293978937514,0.008792847578149297,0.0015205535992117826,123,282,True
mitigation adaptation,0.0001392835645088231,0.0016564393486089896,0.0015171557841001664,1,37,True
years,0.00362397206842905,0.005131786104046517,0.0015078140356174674,60,152,True
actions,0.001695542311452629,0.0031972259572527104,0.0015016836458000813,21,69,True
da,0.0009581131937165954,0.00245557854185184,0.0014974653481352445,11,31,False
schemes,0.0019820963445555785,0.0034774753658729698,0.0014953790213173912,23,74,True
em,0.000558106492481926,0.0020476420882037326,0.0014895355957218067,4,25,False
december 2009,0.0,0.0014835801240144525,0.0014835801240144525,0,25,True
warming,0.004169542616555131,0.0056428860961286196,0.0014733434795734888,53,139,True
regional,0.00268912951367827,0.004160504603216042,0.0014713750895377722,33,108,True
heat,0.00041072180624267664,0.0018814270720545786,0.001470705265811902,5,27,True
chapter,0.001959830271808001,0.0034301194286627235,0.0014702891568547224,14,53,True
study,0.008864056470768161,0.010333303970968603,0.0014692475002004417,144,325,True
degradation redd,3.465741144049707e-05,0.001501687065702774,0.0014670296542622769,1,33,True
act,0.0008085215220645712,0.0022587963225310184,0.0014502748004664471,9,44,True
impacts,0.005324651767935516,0.006774661518199532,0.0014500097502640162,77,184,True
agriculture,0.0022489243300101132,0.0036868795053701764,0.0014379551753600632,28,77,True
sri,0.00018206596485742944,0.0016185735061308986,0.0014365075412734692,2,16,True
environment,0.005963391347443265,0.0073881240693571704,0.0014247327219139051,86,207,True
policies,0.0065342767546331245,0.007937026482799505,0.0014027497281663805,103,223,True
accord,0.0006746848470791033,0.002076452138201273,0.0014017672911221695,7,30,True
forest degradation,0.00033863476149827615,0.0017380388907418656,0.0013994041292435895,3,35,True
showed,0.00033087541546222035,0.001719774791770363,0.0013888993763081425,6,34,True
increasing,0.0030402711528223136,0.004428586031207302,0.0013883148783849887,51,130,True
sustainable energy,0.00014651324490479612,0.0015297180488127622,0.001383204803907966,2,23,True
developed,0.007309186623810656,0.008688371725906559,0.0013791851020959027,137,279,True
energy,0.016581104288951095,0.017946582565585463,0.001365478276634368,246,471,True
markets,0.005051638427695465,0.0064081585993323,0.001356520171636835,78,153,True
power,0.006890912068959148,0.008244066603389942,0.0013531545344307935,80,167,True
drivers,0.000613414463038575,0.001963521629333094,0.001350107166294519,8,44,True
needed,0.002554037189710443,0.0038959794371515636,0.0013419422474411206,43,106,True
carbon offset,0.00034649036056865726,0.0016777019098482482,0.0013312115492795909,4,20,True
order,0.005263478224050475,0.006594373198657961,0.0013308949746074867,93,210,True
social,0.004802830313581373,0.006133463042281092,0.0013306327286997195,75,159,True
increased,0.002723905198676607,0.00404951323524187,0.0013256080365652628,42,109,True
deforestation degradation,3.544439169308998e-05,0.0013542260084749625,0.0013187816167818725,1,29,True
critical,0.0016712421223578219,0.0029842361688685315,0.0013129940465107096,22,78,True
current,0.006466815361994657,0.0077790744242974335,0.0013122590623027763,109,262,True
deliver,0.00022416690676472356,0.0015352540798994545,0.0013110871731347308,2,28,True
offset,0.0023729241289895107,0.003682854298412043,0.0013099301694225324,28,64,True
voluntary,0.002380985283017645,0.0036838031470568704,0.0013028178640392255,23,70,True
value,0.0034912958362401623,0.004787394908816433,0.0012960990725762707,49,124,True
practice,0.0015809589167089712,0.002875809536122204,0.0012948506194132327,20,68,True
energy saving,0.00042117183565951036,0.001715766274140512,0.0012945944384810015,4,23,True
br,0.00037008400212406613,0.0016616342511557225,0.0012915502490316562,3,10,False
change mitigation,0.0018475278644646744,0.0031389618046598943,0.0012914339401952199,27,74,True
www,0.0008021660288089769,0.0020910159761309867,0.0012888499473220098,6,26,True
deforestation forest,0.0002804700404685039,0.0015650489192908887,0.0012845788788223849,3,31,True
status published,0.0,0.0012709843013918665,0.0012709843013918665,0,3,True
regulations,0.0013876776092654139,0.0026577294300970397,0.0012700518208316259,20,52,True
finding,0.00037793058949891557,0.0016474328938317969,0.0012695023043328814,5,34,True
ccs,0.0004238568325641484,0.0016800436847893576,0.001256186852225209,2,14,True
capture,0.0011293335689543935,0.0023846994914055487,0.0012553659224511552,16,49,True
production,0.005420295133818925,0.00666982273877563,0.0012495276049567048,79,177,True
using,0.005946499372326162,0.007191935657874678,0.0012454362855485162,114,245,False
feed,0.0,0.0012411349085248561,0.0012411349085248561,0,25,True
traditional,0.001157930712764437,0.002398780826630288,0.0012408501138658511,17,59,True
evaluates,0.00034091636159539265,0.001578756550383829,0.0012378401887884363,4,30,True
mg,0.00023852642919175245,0.0014715004119665335,0.001232973982774781,1,16,False
gt,0.0013487396809392462,0.0025767415576271697,0.0012280018766879235,12,34,False
ways,0.0023772631545670307,0.003599992341597489,0.001222729187030458,33,92,True
assistance,0.0010992551850519303,0.0023214122981915844,0.001222157113139654,13,47,True
change impacts,0.0003859699935529861,0.0016019740285456647,0.0012160040349926786,4,29,True
considers,0.0010750263945670554,0.002289478349867695,0.0012144519553006394,14,48,True
initiatives,0.001959389101893012,0.003170367136375345,0.001210978034482333,23,72,True
temperature,0.0009304473320381701,0.002139376915558962,0.001208929583520792,11,40,True
solution,0.0015735062999224557,0.0027803541810122517,0.001206847881089796,20,66,True
growing,0.0021650544159142553,0.00337168383746222,0.0012066294215479648,35,84,True
lt,0.000906884194473854,0.00211152771406967,0.001204643519595816,7,25,False
cap,0.0026344707169292797,0.0038336780664468936,0.001199207349517614,23,66,True
income,0.0020615225866720743,0.0032562358500550477,0.0011947132633829734,30,71,True
buildings,0.0004974006345099033,0.001692057810968982,0.0011946571764590787,4,25,True
primarily,0.0009095509325720109,0.0020891714369772312,0.0011796205044052204,13,46,True
household,0.000617507399305841,0.0017967818179301614,0.0011792744186243204,8,33,True
increase,0.0047190450455842445,0.005897082866409081,0.0011780378208248368,75,177,True
http www,0.00045940921313155654,0.001637175290741352,0.0011777660776097956,4,19,True
transport,0.002191103743980109,0.003363783472662506,0.0011726797286823968,23,59,True
business,0.0031750188590571517,0.004343925785917141,0.0011689069268599889,45,101,True
ipcc,0.0008051231888719688,0.0019732434068824244,0.0011681202180104555,9,39,True
international carbon,0.0005082678855849743,0.001673705675292968,0.0011654377897079935,4,28,True
cuts,4.2796076467248015e-05,0.0012052662314149991,0.0011624701549477511,1,20,True
question,0.002133529010722139,0.003290000432660919,0.00115647142193878,30,71,True
emerging,0.0025699188041341495,0.003714731335938206,0.0011448125318040563,37,92,True
mitigation actions,0.00010855179523303379,0.0012491881593463968,0.001140636364113363,1,22,True
forward,0.0015856000032393024,0.002723719370135483,0.0011381193668961805,17,57,True
standards,0.0013163124243779378,0.0024526105752309935,0.0011362981508530557,17,52,True
developed developing,0.0005510267487469115,0.0016846517179949483,0.0011336249692480368,6,31,True
farms,0.00040781404057151256,0.0015320067549854722,0.0011241927144139596,4,25,True
systems,0.005237713690667517,0.006352275269070146,0.0011145615784026288,76,165,True
reforms,0.0003211847462064682,0.001435671711322681,0.0011144869651162127,5,26,True
attempt,0.0004777519328983853,0.0015889822161003675,0.0011112302832019822,5,35,True
carbon capture,9.087754383059697e-05,0.0012010967530436869,0.00111021920921309,1,21,True
dangerous,0.00020588572638443936,0.0013147327989247008,0.0011088470725402614,3,27,True
wind,0.002814918088792277,0.003912679304923057,0.00109776121613078,24,52,True
pricing,0.0004367558528762672,0.0015342276839792085,0.0010974718311029413,5,23,True
industry,0.004400467018679353,0.005495124690138531,0.001094657671459178,60,127,True
suitable,0.000865875391788643,0.0019591080742167254,0.0010932326824280823,11,47,True
discourse,3.647624441159173e-05,0.0011268987338262442,0.0010904224894146524,1,20,True
global warming,0.0041238255419912525,0.0052120203019223755,0.001088194759931123,52,130,True
network,0.0006883801671654873,0.0017763311244228318,0.0010879509572573444,8,32,True
biofuels,0.0006118000825041296,0.0016948360386725247,0.001083035956168395,6,24,True
scaling,0.0,0.0010800546029047862,0.0010800546029047862,0,18,True
architecture,0.0003551298044016736,0.0014334006713735137,0.0010782708669718401,3,25,True
evidence,0.0017728420983006512,0.002849637886175977,0.001076795787875326,20,68,True
area,0.0033736181863215776,0.00444797391616753,0.0010743557298459523,48,112,True
promote,0.003219433808474735,0.004289204575640443,0.001069770767165708,47,113,True
book,0.0009498964382286284,0.0020122196454329558,0.0010623232072043275,12,39,True
effects climate,0.0005734067423478873,0.0016268995042384405,0.0010534927618905533,7,30,True
description,0.0005289955341621074,0.001579763832536757,0.0010507682983746497,6,15,True
enhance,0.0013091969469259921,0.0023579361650654614,0.0010487392181394693,20,55,True
organic,0.0010688064437126442,0.0021158415162507637,0.0010470350725381196,12,42,True
rapidly,0.0010671472290769478,0.002112500291630088,0.0010453530625531401,12,52,True
material,0.0009392807232025749,0.0019838301060085494,0.0010445493828059745,10,44,True
change regime,0.0003205353195943757,0.0013639073930068345,0.0010433720734124587,3,23,True
washington,0.00038842254703476815,0.0014311812976332528,0.0010427587505984846,3,9,True
funds,0.0016401907775355894,0.002680279173847854,0.0010400883963122645,19,52,True
infrastructure,0.0015080007457404611,0.0025475671168467785,0.0010395663711063173,19,57,True
spot,0.00011871565203658372,0.0011556887231946478,0.001036973071158064,1,14,True
events,0.0006126075259289816,0.0016459884004884518,0.0010333808745594702,8,32,True
consumption,0.0025611674383920133,0.0035942897205045437,0.0010331222821125304,36,85,True
significance,0.00037741321284354574,0.001403404821711079,0.0010259916088675332,4,22,True
finance financial,0.0,0.0010157140538496236,0.0010157140538496236,0,7,True
