method,n_papers,n_efficiency_pole,n_accountability_pole,n_both_poles,bic_1comp,bic_2comp,delta_bic,dip_pvalue,explained_variance,embedding_lexical_corr
embedding,1176,49.0,14.0,1.0,-1264.609519321208,-1376.6417783063766,112.03225898516871,,0.030449073761701584,0.6760507497252316
tfidf_lexical,1176,49.0,14.0,1.0,-3429.107702974989,-4487.255249763358,1058.1475467883688,,,0.6760507497252316
embedding_1990–2006,68,,,,,,-4.929709467304448,,,
embedding_2007–2014,315,,,,,,-16.97593576620835,,,
embedding_2015–2025,793,,,,,,75.5118949114352,,,
