doi,community_g05,community_g10,community_g15,community_g20
10.3390/ijerph18094672,3,0,0,0
10.26719/2022.28.4.247,3,0,0,0
10.1093/rfs/hhz137,7,1,1,1
10.1177/17579139211058299,3,0,0,0
10.1093/rfs/hhz146,0,1,1,2
10.1146/annurev-financial-102620-103311,7,1,1,1
10.1080/20430795.2018.1498617,6,2,6,8
10.1016/j.jfineco.2021.05.008,7,1,1,1
10.1017/cbo9780511817434,7,1,1,4
10.1080/17565529.2017.1410087,0,3,7,6
10.1080/14693062.2020.1871313,10,4,7,6
10.1038/nclimate3255,7,1,1,4
10.1016/j.eneco.2022.106072,10,4,7,6
10.1038/s41558-018-0175-0,0,3,3,4
10.1016/j.worlddev.2017.11.001,0,3,7,6
10.1093/rfs/hhz072,7,1,1,1
10.1017/s1537592710004068,0,3,5,7
10.1016/j.jfineco.2021.01.010,7,2,6,8
10.1016/j.frl.2019.02.003,5,2,6,8
10.1016/j.jbankfin.2018.10.012,6,2,6,8
10.1038/nclimate2972,7,1,1,4
10.1017/9781009325844,3,0,0,0
10.1016/j.jeconom.2018.09.015,0,1,1,1
10.1016/j.frl.2019.04.016,5,2,6,8
10.1016/j.jfineco.2021.08.004,7,1,1,1
10.1016/j.jcorpfin.2018.12.001,6,2,6,8
10.1016/j.ecolecon.2015.03.020,5,2,6,4
10.1162/glep_a_00153,0,3,5,9
10.1080/14693062.2014.912978,0,3,5,10
10.1192/bji.2022.14,3,0,0,0
10.1002/wcc.709,10,4,7,6
10.1038/nature15725,7,1,1,1
10.1162/glep.2009.9.4.14,0,3,5,7
10.1016/j.jfineco.2020.12.011,7,1,1,1
10.1007/s10784-016-9347-4,0,3,5,11
10.1038/s41558-021-00990-2,10,4,7,6
10.1007/s10784-016-9343-8,10,4,7,6
10.1016/j.ecolecon.2021.107022,5,2,6,4
10.1007/s10584-019-02563-x,10,4,7,6
10.1016/j.worlddev.2014.10.033,0,3,5,12
10.1016/j.egypro.2016.12.053,5,2,6,8
10.1016/s0304-4076(98)00009-8,1,4,7,6
10.1007/s10584-019-02542-2,5,2,6,4
10.1016/j.jclepro.2019.02.022,6,2,6,8
10.1007/s10784-016-9349-2,10,4,7,6
10.1016/j.gloenvcha.2010.07.004,0,3,5,7
10.1016/j.worlddev.2011.07.020,0,3,5,11
10.1016/j.eneco.2018.05.030,6,2,6,8
10.1073/pnas.1710465114,8,5,3,4
10.2307/2297968,1,4,7,6
10.1016/j.enpol.2019.02.023,10,4,7,6
10.1038/nclimate2437,1,4,7,6
10.1093/rfs/hhz086,7,1,1,1
10.1162/glep_a_00325,0,3,5,14
10.1080/14693062.2017.1388212,10,4,7,6
10.1080/17565529.2011.599550,0,3,5,11
10.1002/wcc.437,10,4,7,6
10.1016/j.gloenvcha.2009.07.009,0,3,5,14
10.1016/s0301-4215(00)00070-7,5,2,3,4
10.1007/s11356-020-08383-2,5,2,6,8
10.1016/j.gloenvcha.2009.10.006,0,4,7,6
10.1016/j.jfineco.2019.06.006,7,1,1,1
10.1016/j.ecolecon.2019.01.029,5,2,6,4
